job_link,job_skills
https://uk.linkedin.com/jobs/view/upn-pallet-network-planner-internal-applicants-only-at-kammac-ltd-3801511038,"Pallet Network deliveries, Operations planning, KPI reporting, Spreadsheet management, Databases, Statistical analysis, Forms, Outlook, Data management, Data analysis, Cost saving initiatives, IT skills, Transport operations, Planning, Coordination, Negotiation, Analytical thinking, Digital tachograph information, Health and safety regulations, IOSH Managing safety Level 3 qualification, UK driving license"
https://www.linkedin.com/jobs/view/food-runner-busser-drink-runner-bar-back-guest-services-at-topgolf-3753075039,"Energy, Enthusiasm, Communication skills, Time management, Organization skills, Fastpaced environment, Teamwork, Selfawareness, Receptivity to change, Integrity, Extreme weather conditions, Varied shifts, Standing and walking, Lifting, Stooping and bending, Licenses and certifications"
https://www.linkedin.com/jobs/view/welcome-center-representative-woburn-at-ymca-of-greater-boston-3690899010,"Customer service, Teamwork, Problem solving, Communication, Safety protocols, Membership sales, Program sales, Telephone calls, YMCA policies and procedures, Emergency response, Staff meetings, Multitasking, Fastpaced environment, Listen First skills, Eye contact, Positivity, Welcoming demeanor"
https://www.linkedin.com/jobs/view/audit-seniors-to-managers-at-kforce-inc-3777073276,"Audit, Accounting, CCH Engagement, Excel, Microsoft Outlook, Microsoft Word, Research software, CPA, Budgeting, Communication, Team management, Problem solving, Prioritization, Time management, Bachelor's degree, 48+ years of audit experience"
https://www.linkedin.com/jobs/view/staff-physician-pediatric-rheumatologist-at-norton-healthcare-3771366578,"Pediatric Rheumatology, Clinical Care, Education, Clinical Research, Advocacy, Inpatient Consultations, Pediatric Hospitalists, Pediatric Critical Care Physicians, Pediatric Emergency Medicine Physicians, Pediatric Infectious Diseases, Dermatology, Pulmonology, Radiology, Ophthalmology, Orthopedics, Nephrology, Outpatient Clinical Care, Infusion Services, Pediatric Rheumatology Collaborative Study Group (PRCSG), Childhood Arthritis and Rheumatology Research Alliance, Juvenile Idiopathic Arthritis, Juvenile Dermatomyositis, Pain Working Groups, American Academy of Pediatrics, American College of Rheumatology, Pharmaceutical Research, Clinical Research, Pediatric Clinical Research Unit, Quality Improvement, Scholarly Projects, Teaching Medical Students, Pediatric Residents, Board Certified/Board Eligible in Pediatric Rheumatology, Competitive Salary, Academic Rank, Medical Degree/Diploma, Residency/Fellowship Certification, Kentucky Medical License"
https://www.linkedin.com/jobs/view/race-and-sportsbook-manager-at-caesars-sportsbook-casino-3783817973,"Hiring, Scheduling, Training, Mentoring, Customer service, Leadership, Operational effectiveness, Profitability, Promotion, Betting control guidelines, Compliance, Staff development, Staffing model, Stakeholder management, Internal and external contacts, Positive image promotion, Budget preparation, Performance evaluation, Work authorization, Regulatory licensing, Independent work, Situation assessment, Decision making, Interpersonal communication, Relationship management, Problemsolving, Prioritization, Postsecondary education, Casino experience, Operator experience, Regulator experience, Vendor experience, Front and back of house operations, Customer advocacy, Promotion development, Sports betting consumer, Datadriven thinking, Strategic thinking, Sportsbook industry knowledge, Flexible hours, English language proficiency, Regular attendance, Time management, Professionalism, Confidentiality"
https://www.linkedin.com/jobs/view/senior-project-manager-multifamily-construction-at-michael-page-3767476533,"Project Management, Cost Control, Risk Management, Business Development, Client Management, Progress Meetings, Prequalification Process, Bidder Responses, Project Delivery Method, Business Plans, Junior Team Member Training, Construction Management, Civil Engineering, Architecture, Multifamily Work, PT/Podium Deck/Parking Garage, Leadership, Estimating, Cost Plus, Negotiated Work, MS Project, Procore, CPM Scheduling, Change Orders, Pay Apps, Competitive Base Salary, Competitive Bonus Structure, Medical Insurance, 401K, Car Allowance, Company Profit Sharing, Career Advancement Opportunity, Training Programs, PTO Days, Maternity/Paternity Leave, Company Outings, Company Phone, Company Laptop"
https://www.linkedin.com/jobs/view/exchange-student-local-coordinator-independent-contractor-at-greenheart-exchange-3798431559,"Domestic and international travel, Host student orientations, Recruit local families, Assist families with approval process, Organize exchange student placements, Accredited school, Prearrival orientations, Host family orientations, Mentor and friend, Background check, DOS Test, 26+ age requirement, US residency, Home/office internet access"
https://www.linkedin.com/jobs/view/area-manager-at-pj-s-coffee-of-new-orleans-3788943867,"MultiStore Management, Team Leadership, Operational Excellence, Customer Service Focus, Financial Management, Community Engagement, ServSafe Certification, Analytical Skills, ProblemSolving Skills, Communication Skills, Interpersonal Skills, Flexibility, Food and Beverage Industry Experience, Leadership Skills, TeamBuilding Skills"
https://www.linkedin.com/jobs/view/sales-professional-consumer-direct-outside-sales-at-united-placement-group-3779796415,"Sales, Communication, Collaboration, Consumer direct sales, Closing deals, Lead generation, Appointment setting, Territory management, Commissionbased compensation, Flexible schedule, Autonomy, Growth opportunities"
