job_link,last_processed_time,got_summary,got_ner,is_being_worked,job_title,company,job_location,first_seen,search_city,search_country,search_position,job_level,job_type
https://www.linkedin.com/jobs/view/rn-cardiopulmonary-full-time-nights-at-central-maine-healthcare-3776448844,2024-01-21 16:15:01.613203+00,t,t,f,"RN, Cardiopulmonary - full time, nights",Central Maine Healthcare,"Lewiston, ME",2024-01-14,Brunswick,United States,Nurse Head,Mid senior,Onsite
https://www.linkedin.com/jobs/view/mental-health-counselors-lmft-lcmhc-lcsw-at-gotham-enterprises-ltd-3766225527,2024-01-19 09:45:09.215838+00,f,f,f,"Mental Health Counselors (LMFT, LCMHC, LCSW)",Gotham Enterprises Ltd,"Dover, NH",2024-01-16,Kittery,United States,Substance Abuse Counselor,Mid senior,Onsite
https://www.linkedin.com/jobs/view/first-year-tax-professional-at-h-r-block-3673379061,2024-01-20 01:21:25.114565+00,t,t,f,First Year Tax Professional,H&R Block,"Lorain, OH",2024-01-14,Lorain,United States,Tax Clerk,Mid senior,Onsite
https://www.linkedin.com/jobs/view/part-time-merchandiser-thousand-oaks-ca-at-american-greetings-3784455009,2024-01-19 09:45:09.215838+00,t,t,f,"Part Time Merchandiser - Thousand Oaks, CA",American Greetings,"Thousand Oaks, CA",2024-01-13,Malibu,United States,Extra,Associate,Onsite
https://www.linkedin.com/jobs/view/new-modalities-quality-antibody-drug-conjugate-lead-at-msd-ireland-3800569050,2024-01-19 17:34:24.963407+00,t,t,f,"New Modalities Quality, Antibody Drug Conjugate Lead",MSD Ireland,"North Wales, PA",2024-01-16,Pottstown,United States,Research Subject,Mid senior,Onsite
https://www.linkedin.com/jobs/view/asset-wealth-management-tax-senior-associate-at-pwc-3691242883,2024-01-21 05:16:24.684137+00,t,t,f,Asset & Wealth Management - Tax Senior Associate,PwC,"Detroit, MI",2024-01-16,Windsor,Canada,Manager Forms Analysis,Mid senior,Onsite
https://www.linkedin.com/jobs/view/senior-client-services-account-manager-family-office-at-armanino-llp-3708946076,2024-01-19 09:45:09.215838+00,t,t,f,"Senior Client Services Account Manager, Family Office",Armanino LLP,"Austin, TX",2024-01-13,Austin,United States,Dispatcher Service,Mid senior,Onsite
https://www.linkedin.com/jobs/view/audit-supervisory-crytpocurrency-at-withum-3628796775,2024-01-19 09:45:09.215838+00,t,t,f,Audit Supervisory Crytpocurrency,Withum,"Whippany, NJ",2024-01-12,Bound Brook,United States,Auditor,Mid senior,Onsite
https://www.linkedin.com/jobs/view/hypersonic-propulsion-performance-engineer-at-ge-aerospace-3789704213,2024-01-19 09:45:09.215838+00,t,t,f,Hypersonic Propulsion Performance Engineer,GE Aerospace,"Bohemia, NY",2024-01-13,Babylon,United States,Customer-Equipment Engineer,Mid senior,Onsite
https://www.linkedin.com/jobs/view/cook-2-direct-hire-at-biogensys-3793685646,2024-01-19 09:45:09.215838+00,t,t,f,Cook 2 - DIRECT HIRE,Biogensys,"Bellevue, WA",2024-01-12,Summit,United States,Chef,Mid senior,Onsite
https://www.linkedin.com/jobs/view/senior-joint-training-analyst-at-saic-3796447881,2024-01-19 09:45:09.215838+00,t,t,f,Senior Joint Training Analyst,SAIC,"Norfolk, VA",2024-01-13,Norfolk,United States,Manager Education And Training,Mid senior,Onsite
https://www.linkedin.com/jobs/view/registered-nurse-emergency-department-at-compunnel-inc-3798960464,2024-01-19 12:47:53.694447+00,t,t,f,Registered Nurse - Emergency Department,Compunnel Inc.,"Fort Wayne, IN",2024-01-14,Fort Wayne,United States,Nurse-Midwife,Mid senior,Onsite
